name,prompt,negative_prompt
👫⑥ Human,"human, humanized",
🐉⑥ Kirin,"kirin, kirin-ified, horn, cloven hooves",
🦇⑥ Bat Pony,"bat pony, bat ponified, slit pupils, cute little fangs",
🪰⑥ Changeling,"horn, changeling, changelingified, insect wings, empty eyes, blank eyes, colored sclera, holes",
🐟⑥ Seapony,"seapony \(g4\), seaponified, scales, fins",
🦎⑥ Dragon,"dragon, dragonified, scales, fins, claws, bipedal, species swap",
🐈⑥ Cat,"cat, catified, slit pupils, cat ears, cat tail, ear fluff, chest fluff, cute little fangs, paws",
